idGrade,x,y,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max
306,-62.5,0.5,26.793,37.487,18.722,0.916,20.947
307,-62.0,0.5,26.862,37.477,19.118,0.937,21.207
308,-61.5,0.5,26.933,37.455,19.494,0.968,21.603
309,-61.0,0.5,26.987,37.368,19.829,0.989,21.676
310,-60.5,0.5,27.023,37.3,20.04,1.022,21.666
311,-60.0,0.5,27.031,37.259,20.17,1.007,21.234
312,-59.5,0.5,27.042,37.242,20.243,0.983,20.356
313,-59.0,0.5,27.04,37.191,20.319,0.959,19.779
314,-58.5,0.5,26.979,37.078,20.389,0.941,19.373
315,-58.0,0.5,26.977,36.974,20.464,0.951,19.073
316,-57.5,0.5,26.964,36.9,20.518,0.945,18.773
317,-57.0,0.5,26.937,36.797,20.558,0.953,18.872
318,-56.5,0.5,26.916,36.718,20.578,0.973,18.947
319,-56.0,0.5,26.908,36.617,20.585,1.015,19.114
320,-55.5,0.5,26.909,36.434,20.676,1.09,19.496
321,-55.0,0.5,26.887,36.285,20.662,1.145,20.066
322,-54.5,0.5,26.862,36.133,20.654,1.207,20.615
323,-54.0,0.5,26.855,35.965,20.686,1.282,21.18
324,-53.5,0.5,26.802,35.797,20.603,1.342,21.484
325,-53.0,0.5,26.78,35.62,20.633,1.433,22.853
326,-52.5,0.5,26.722,35.545,20.601,1.512,24.137
327,-52.0,0.5,26.628,35.474,20.688,1.602,26.041
328,-51.5,0.5,26.441,35.531,20.659,1.618,28.289
329,-51.0,0.5,26.825,35.163,20.938,1.773,25.755
330,-50.5,0.5,26.908,35.228,20.834,1.714,23.981
331,-50.0,0.5,26.906,35.406,20.614,1.611,22.438
332,-49.5,0.5,26.943,35.451,20.497,1.58,21.061
333,-49.0,0.5,27.002,35.414,20.437,1.606,19.95
334,-48.5,0.5,27.037,35.36,20.411,1.639,19.322
335,-48.0,0.5,27.047,35.484,20.264,1.658,19.127
336,-71.0,0.0,25.8,35.783,19.022,0.775,32.755
337,-70.5,0.0,25.816,35.796,19.182,0.776,33.388
338,-70.0,0.0,25.903,36.059,18.955,0.768,31.97
339,-69.5,0.0,25.907,36.035,19.155,0.77,32.839
340,-69.0,0.0,25.975,36.086,19.394,0.798,33.062
341,-68.5,0.0,25.951,36.019,19.578,0.793,34.163
342,-68.0,0.0,25.924,35.946,19.749,0.787,35.219
343,-67.5,0.0,25.9,35.883,19.879,0.783,36.04
344,-67.0,0.0,25.893,35.862,19.925,0.782,36.322
345,-66.5,0.0,25.955,35.964,19.864,0.799,35.479
346,-66.0,0.0,26.108,36.251,19.667,0.836,32.958
347,-65.5,0.0,26.297,36.622,19.349,0.878,29.701
348,-65.0,0.0,26.474,36.985,19.003,0.885,25.961
349,-64.5,0.0,26.582,37.228,18.635,0.885,23.185
350,-64.0,0.0,26.623,37.406,18.294,0.855,21.09
351,-63.5,0.0,26.609,37.533,17.872,0.831,19.926
352,-63.0,0.0,26.616,37.583,17.745,0.817,19.297
353,-62.5,0.0,26.67,37.56,18.035,0.838,19.45
354,-62.0,0.0,26.765,37.497,18.684,0.868,19.806
355,-61.5,0.0,26.866,37.424,19.306,0.899,20.073
356,-61.0,0.0,26.913,37.33,19.725,0.916,20.126
357,-60.5,0.0,26.95,37.259,19.984,0.944,20.1
358,-60.0,0.0,26.958,37.229,20.113,0.929,19.751
359,-59.5,0.0,26.985,37.208,20.226,0.918,19.161
360,-59.0,0.0,26.985,37.137,20.321,0.899,18.752
361,-58.5,0.0,26.964,37.068,20.407,0.895,18.549
362,-58.0,0.0,26.973,36.98,20.491,0.906,18.349
363,-57.5,0.0,26.969,36.923,20.541,0.906,18.166
364,-57.0,0.0,26.943,36.825,20.588,0.91,18.228
365,-56.5,0.0,26.918,36.76,20.581,0.924,18.294
