idGrade,x,y
527,-53.5,-1.5
528,-53.0,-1.5
529,-52.5,-1.5
530,-52.0,-1.5
531,-51.5,-1.5
532,-51.0,-1.5
533,-50.5,-1.5
534,-50.0,-1.5
535,-49.5,-1.5
536,-49.0,-1.5
537,-48.5,-1.5
538,-48.0,-1.5
539,-47.5,-1.5
540,-47.0,-1.5
541,-46.5,-1.5
542,-46.0,-1.5
543,-45.5,-1.5
544,-45.0,-1.5
545,-44.5,-1.5
546,-44.0,-1.5
547,-43.5,-1.5
548,-43.0,-1.5
549,-70.5,-2.0
550,-70.0,-2.0
551,-69.5,-2.0
552,-69.0,-2.0
553,-68.5,-2.0
554,-68.0,-2.0
555,-67.5,-2.0
556,-67.0,-2.0
557,-66.5,-2.0
558,-66.0,-2.0
559,-65.5,-2.0
560,-65.0,-2.0
561,-64.5,-2.0
562,-64.0,-2.0
563,-63.5,-2.0
564,-63.0,-2.0
565,-62.5,-2.0
566,-62.0,-2.0
567,-61.5,-2.0
568,-61.0,-2.0
569,-60.5,-2.0
570,-60.0,-2.0
571,-59.5,-2.0
572,-59.0,-2.0
573,-58.5,-2.0
574,-58.0,-2.0
575,-57.5,-2.0
576,-57.0,-2.0
577,-56.5,-2.0
578,-56.0,-2.0
579,-55.5,-2.0
580,-55.0,-2.0
581,-54.5,-2.0
582,-54.0,-2.0
583,-53.5,-2.0
584,-53.0,-2.0
585,-52.5,-2.0
586,-52.0,-2.0
587,-51.5,-2.0
588,-51.0,-2.0
589,-50.5,-2.0
590,-50.0,-2.0
591,-49.5,-2.0
592,-49.0,-2.0
593,-48.5,-2.0
594,-48.0,-2.0
595,-47.5,-2.0
596,-47.0,-2.0
597,-46.5,-2.0
598,-46.0,-2.0
599,-45.5,-2.0
600,-45.0,-2.0
601,-44.5,-2.0
602,-44.0,-2.0
603,-43.5,-2.0
604,-43.0,-2.0
605,-42.5,-2.0
606,-42.0,-2.0
607,-41.5,-2.0
608,-41.0,-2.0
609,-40.5,-2.0
610,-40.0,-2.0
611,-39.5,-2.0
612,-70.5,-2.5
613,-70.0,-2.5
614,-69.5,-2.5
615,-69.0,-2.5
616,-68.5,-2.5
617,-68.0,-2.5
618,-67.5,-2.5
619,-67.0,-2.5
620,-66.5,-2.5
621,-66.0,-2.5
622,-65.5,-2.5
623,-65.0,-2.5
624,-64.5,-2.5
625,-64.0,-2.5
626,-63.5,-2.5
627,-63.0,-2.5
628,-62.5,-2.5
629,-62.0,-2.5
630,-61.5,-2.5
631,-61.0,-2.5
632,-60.5,-2.5
633,-60.0,-2.5
634,-59.5,-2.5
635,-59.0,-2.5
636,-58.5,-2.5
637,-58.0,-2.5
638,-57.5,-2.5
639,-57.0,-2.5
640,-56.5,-2.5
641,-56.0,-2.5
642,-55.5,-2.5
643,-55.0,-2.5
644,-54.5,-2.5
645,-54.0,-2.5
646,-53.5,-2.5
647,-53.0,-2.5
648,-52.5,-2.5
649,-52.0,-2.5
650,-51.5,-2.5
651,-51.0,-2.5
652,-50.5,-2.5
653,-50.0,-2.5
654,-49.5,-2.5
655,-49.0,-2.5
656,-48.5,-2.5
657,-48.0,-2.5
658,-47.5,-2.5
659,-47.0,-2.5
660,-46.5,-2.5
661,-46.0,-2.5
662,-45.5,-2.5
663,-45.0,-2.5
664,-44.5,-2.5
665,-44.0,-2.5
666,-43.5,-2.5
667,-43.0,-2.5
668,-42.5,-2.5
669,-42.0,-2.5
670,-41.5,-2.5
671,-41.0,-2.5
672,-40.5,-2.5
673,-40.0,-2.5
674,-39.5,-2.5
675,-39.0,-2.5
676,-70.5,-3.0
677,-70.0,-3.0
678,-69.5,-3.0
679,-69.0,-3.0
680,-68.5,-3.0
681,-68.0,-3.0
682,-67.5,-3.0
683,-67.0,-3.0
684,-66.5,-3.0
685,-66.0,-3.0
686,-65.5,-3.0
687,-65.0,-3.0
688,-64.5,-3.0
689,-64.0,-3.0
690,-63.5,-3.0
691,-63.0,-3.0
692,-62.5,-3.0
693,-62.0,-3.0
694,-61.5,-3.0
695,-61.0,-3.0
696,-60.5,-3.0
697,-60.0,-3.0
698,-59.5,-3.0
699,-59.0,-3.0
700,-58.5,-3.0
701,-58.0,-3.0
702,-57.5,-3.0
703,-57.0,-3.0
704,-56.5,-3.0
705,-56.0,-3.0
706,-55.5,-3.0
707,-55.0,-3.0
708,-54.5,-3.0
709,-54.0,-3.0
710,-53.5,-3.0
711,-53.0,-3.0
712,-52.5,-3.0
713,-52.0,-3.0
714,-51.5,-3.0
715,-51.0,-3.0
716,-50.5,-3.0
717,-50.0,-3.0
718,-49.5,-3.0
719,-49.0,-3.0
720,-48.5,-3.0
721,-48.0,-3.0
722,-47.5,-3.0
723,-47.0,-3.0
724,-46.5,-3.0
725,-46.0,-3.0
726,-45.5,-3.0
727,-45.0,-3.0
728,-44.5,-3.0
729,-44.0,-3.0
730,-43.5,-3.0
731,-43.0,-3.0
732,-42.5,-3.0
733,-42.0,-3.0
734,-41.5,-3.0
735,-41.0,-3.0
736,-40.5,-3.0
737,-40.0,-3.0
738,-39.5,-3.0
739,-39.0,-3.0
740,-38.5,-3.0
741,-38.0,-3.0
742,-34.0,-3.0
743,-33.5,-3.0
744,-71.5,-3.5
745,-71.0,-3.5
746,-70.5,-3.5
747,-70.0,-3.5
748,-69.5,-3.5
749,-69.0,-3.5
750,-68.5,-3.5
751,-68.0,-3.5
752,-67.5,-3.5
753,-67.0,-3.5
754,-66.5,-3.5
755,-66.0,-3.5
756,-65.5,-3.5
757,-65.0,-3.5
758,-64.5,-3.5
759,-64.0,-3.5
760,-63.5,-3.5
761,-63.0,-3.5
762,-62.5,-3.5
763,-62.0,-3.5
764,-61.5,-3.5
765,-61.0,-3.5
766,-60.5,-3.5
767,-60.0,-3.5
768,-59.5,-3.5
769,-59.0,-3.5
770,-58.5,-3.5
771,-58.0,-3.5
772,-57.5,-3.5
773,-57.0,-3.5
774,-56.5,-3.5
775,-56.0,-3.5
776,-55.5,-3.5
777,-55.0,-3.5
778,-54.5,-3.5
779,-54.0,-3.5
780,-53.5,-3.5
781,-53.0,-3.5
782,-52.5,-3.5
783,-52.0,-3.5
784,-51.5,-3.5
785,-51.0,-3.5
786,-50.5,-3.5
787,-50.0,-3.5
788,-49.5,-3.5
789,-49.0,-3.5
790,-48.5,-3.5
791,-48.0,-3.5
792,-47.5,-3.5
793,-47.0,-3.5
794,-46.5,-3.5
795,-46.0,-3.5
796,-45.5,-3.5
797,-45.0,-3.5
798,-44.5,-3.5
799,-44.0,-3.5
800,-43.5,-3.5
801,-43.0,-3.5
802,-42.5,-3.5
803,-42.0,-3.5
804,-41.5,-3.5
805,-41.0,-3.5
806,-40.5,-3.5
807,-40.0,-3.5
808,-39.5,-3.5
809,-39.0,-3.5
810,-38.5,-3.5
811,-38.0,-3.5
812,-37.5,-3.5
813,-34.5,-3.5
814,-34.0,-3.5
815,-33.5,-3.5
816,-72.5,-4.0
817,-72.0,-4.0
818,-71.5,-4.0
819,-71.0,-4.0
820,-70.5,-4.0
821,-70.0,-4.0
822,-69.5,-4.0
823,-69.0,-4.0
824,-68.5,-4.0
825,-68.0,-4.0
826,-67.5,-4.0
827,-67.0,-4.0
828,-66.5,-4.0
829,-66.0,-4.0
830,-65.5,-4.0
831,-65.0,-4.0
832,-64.5,-4.0
833,-64.0,-4.0
834,-63.5,-4.0
835,-63.0,-4.0
836,-62.5,-4.0
837,-62.0,-4.0
838,-61.5,-4.0
839,-61.0,-4.0
840,-60.5,-4.0
841,-60.0,-4.0
842,-59.5,-4.0
843,-59.0,-4.0
844,-58.5,-4.0
845,-58.0,-4.0
846,-57.5,-4.0
847,-57.0,-4.0
848,-56.5,-4.0
849,-56.0,-4.0
850,-55.5,-4.0
851,-55.0,-4.0
852,-54.5,-4.0
853,-54.0,-4.0
854,-53.5,-4.0
855,-53.0,-4.0
856,-52.5,-4.0
857,-52.0,-4.0
858,-51.5,-4.0
859,-51.0,-4.0
860,-50.5,-4.0
861,-50.0,-4.0
862,-49.5,-4.0
863,-49.0,-4.0
864,-48.5,-4.0
865,-48.0,-4.0
866,-47.5,-4.0
867,-47.0,-4.0
868,-46.5,-4.0
869,-46.0,-4.0
870,-45.5,-4.0
871,-45.0,-4.0
872,-44.5,-4.0
873,-44.0,-4.0
874,-43.5,-4.0
875,-43.0,-4.0
876,-42.5,-4.0
877,-42.0,-4.0
878,-41.5,-4.0
879,-41.0,-4.0
880,-40.5,-4.0
881,-40.0,-4.0
882,-39.5,-4.0
883,-39.0,-4.0
884,-38.5,-4.0
885,-38.0,-4.0
886,-37.5,-4.0
887,-37.0,-4.0
888,-34.5,-4.0
889,-34.0,-4.0
890,-33.5,-4.0
891,-73.5,-4.5
892,-73.0,-4.5
893,-72.5,-4.5
894,-72.0,-4.5
895,-71.5,-4.5
896,-71.0,-4.5
897,-70.5,-4.5
898,-70.0,-4.5
899,-69.5,-4.5
900,-69.0,-4.5
901,-68.5,-4.5
902,-68.0,-4.5
903,-67.5,-4.5
904,-67.0,-4.5
905,-66.5,-4.5
906,-66.0,-4.5
907,-65.5,-4.5
908,-65.0,-4.5
909,-64.5,-4.5
910,-64.0,-4.5
911,-63.5,-4.5
912,-63.0,-4.5
913,-62.5,-4.5
914,-62.0,-4.5
915,-61.5,-4.5
916,-61.0,-4.5
917,-60.5,-4.5
918,-60.0,-4.5
919,-59.5,-4.5
920,-59.0,-4.5
921,-58.5,-4.5
922,-58.0,-4.5
923,-57.5,-4.5
924,-57.0,-4.5
925,-56.5,-4.5
926,-56.0,-4.5
927,-55.5,-4.5
928,-55.0,-4.5
929,-54.5,-4.5
930,-54.0,-4.5
931,-53.5,-4.5
932,-53.0,-4.5
933,-52.5,-4.5
934,-52.0,-4.5
935,-51.5,-4.5
936,-51.0,-4.5
937,-50.5,-4.5
938,-50.0,-4.5
939,-49.5,-4.5
940,-49.0,-4.5
941,-48.5,-4.5
942,-48.0,-4.5
943,-47.5,-4.5
944,-47.0,-4.5
945,-46.5,-4.5
946,-46.0,-4.5
947,-45.5,-4.5
948,-45.0,-4.5
949,-44.5,-4.5
950,-44.0,-4.5
951,-43.5,-4.5
952,-43.0,-4.5
953,-42.5,-4.5
954,-42.0,-4.5
955,-41.5,-4.5
956,-41.0,-4.5
957,-40.5,-4.5
958,-40.0,-4.5
959,-39.5,-4.5
960,-39.0,-4.5
961,-38.5,-4.5
962,-38.0,-4.5
963,-37.5,-4.5
964,-37.0,-4.5
965,-36.5,-4.5
966,-36.0,-4.5
967,-35.5,-4.5
968,-35.0,-4.5
969,-34.5,-4.5
970,-34.0,-4.5
971,-33.5,-4.5
972,-73.5,-5.0
973,-73.0,-5.0
974,-72.5,-5.0
975,-72.0,-5.0
976,-71.5,-5.0
977,-71.0,-5.0
978,-70.5,-5.0
979,-70.0,-5.0
980,-69.5,-5.0
981,-69.0,-5.0
982,-68.5,-5.0
983,-68.0,-5.0
984,-67.5,-5.0
985,-67.0,-5.0
986,-66.5,-5.0
987,-66.0,-5.0
988,-65.5,-5.0
989,-65.0,-5.0
990,-64.5,-5.0
991,-64.0,-5.0
992,-63.5,-5.0
993,-63.0,-5.0
994,-62.5,-5.0
995,-62.0,-5.0
996,-61.5,-5.0
997,-61.0,-5.0
998,-60.5,-5.0
999,-60.0,-5.0
1000,-59.5,-5.0
1001,-59.0,-5.0
1002,-58.5,-5.0
1003,-58.0,-5.0
1004,-57.5,-5.0
1005,-57.0,-5.0
1006,-56.5,-5.0
1007,-56.0,-5.0
1008,-55.5,-5.0
1009,-55.0,-5.0
1010,-54.5,-5.0
1011,-54.0,-5.0
1012,-53.5,-5.0
1013,-53.0,-5.0
1014,-52.5,-5.0
1015,-52.0,-5.0
1016,-51.5,-5.0
1017,-51.0,-5.0
1018,-50.5,-5.0
1019,-50.0,-5.0
1020,-49.5,-5.0
1021,-49.0,-5.0
1022,-48.5,-5.0
1023,-48.0,-5.0
1024,-47.5,-5.0
1025,-47.0,-5.0
1026,-46.5,-5.0
1027,-46.0,-5.0
1028,-45.5,-5.0
1029,-45.0,-5.0
1030,-44.5,-5.0
1031,-44.0,-5.0
1032,-43.5,-5.0
1033,-43.0,-5.0
1034,-42.5,-5.0
1035,-42.0,-5.0
1036,-41.5,-5.0
1037,-41.0,-5.0
1038,-40.5,-5.0
1039,-40.0,-5.0
1040,-39.5,-5.0
1041,-39.0,-5.0
1042,-38.5,-5.0
1043,-38.0,-5.0
1044,-37.5,-5.0
1045,-37.0,-5.0
1046,-36.5,-5.0
1047,-36.0,-5.0
1048,-35.5,-5.0
1049,-35.0,-5.0
1050,-34.5,-5.0
1051,-74.0,-5.5
1052,-73.5,-5.5
1053,-73.0,-5.5
1054,-72.5,-5.5
1055,-72.0,-5.5
1056,-71.5,-5.5
1057,-71.0,-5.5
1058,-70.5,-5.5
1059,-70.0,-5.5
1060,-69.5,-5.5
1061,-69.0,-5.5
1062,-68.5,-5.5
1063,-68.0,-5.5
1064,-67.5,-5.5
1065,-67.0,-5.5
1066,-66.5,-5.5
1067,-66.0,-5.5
1068,-65.5,-5.5
1069,-65.0,-5.5
1070,-64.5,-5.5
1071,-64.0,-5.5
1072,-63.5,-5.5
