,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,v_vento_medio,ini_temp,fim_temp,ini_vento,fim_vento
346,10983961,Queimadas,Inmet,-39.61701,-10.98465,310.11,26.194622647237402,3.3163084395871265,2011-12-15,2021-08-25,2011-12-15,2021-08-25
347,15283909,Una,Inmet,-39.09127,-15.28022,74.08,23.916770740188785,1.3552295150963178,2000-01-01,2021-08-25,2000-01-01,2021-08-25
348,13903897,Maraú,Inmet,-38.97222,-13.90694,6.24,25.32393867638129,2.072058667273832,2011-12-15,2021-02-24,2011-12-15,2021-02-24
349,12194321,Ibotirama,Inmet,-43.21342,-12.19306,425.12,28.000540495706474,1.9830257719663462,2011-12-10,2021-08-25,2011-12-10,2021-08-25
350,11204046,Jacobina,Inmet,-40.46498,-11.20514,440.78,24.322792794257957,2.0063060542978577,2011-12-15,2020-09-03,2011-12-15,2020-09-03
351,11663902,Serrinha,Inmet,-39.02295,-11.66459,337.79,24.474783339838673,2.787169041113714,2011-12-15,2021-07-31,2011-12-15,2021-07-31
352,10533899,Euclides da Cunha,Inmet,-38.99661,-10.53723,431.96,24.68172594110506,3.1201136265070684,2011-11-30,2021-08-25,2011-11-30,2021-08-25
353,10454120,Delfino,Inmet,-41.207,-10.45492,646.24,24.33218041460665,2.6543149449215027,2011-12-15,2020-12-29,2011-12-15,2020-12-29
354,13343912,Valença,Inmet,-39.12667,-13.34361,93.12,23.701123150907982,1.4078451040459232,2000-01-01,2021-08-18,2000-01-01,2021-08-18
355,14173969,Ipiaú,Inmet,-39.6925,-14.1713,132.11,23.885111837540112,1.4407895307485477,2011-12-15,2020-11-25,2011-12-15,2020-11-25
356,15244022,Itapetinga,Inmet,-40.22955,-15.24462,271.48,24.371675091074657,2.177682452944747,2011-11-30,2021-04-19,2011-11-30,2021-04-19
357,16083921,Belmonte,Inmet,-39.21539,-16.08805,89.67,23.326232555847316,1.6260423388845542,2000-01-01,2021-01-11,2011-12-15,2021-01-11
358,9003991,Curaçá,Inmet,-39.9124,-9.0013,370.0,27.51029274004685,3.1572085610200378,2015-08-19,2021-08-25,2015-08-19,2021-08-25
359,11054550,Formosa do Rio Preto,Inmet,-45.20077,-11.05216,488.0,25.589797358834215,1.369556921675774,2016-06-04,2020-11-27,2016-06-04,2020-11-27
360,21134346,Barbacena,Inmet,-43.7677,-21.22837,1168.76,18.533418789298597,1.8882893291152008,2003-03-20,2021-08-25,2003-03-20,2021-08-25
361,19364656,Araxá,Inmet,-46.94962,-19.6057,1018.32,21.53733709474587,2.5363386944270574,2002-12-19,2021-08-25,2002-12-19,2021-08-25
362,16434353,Montes Claros,Inmet,-43.84376,-16.68632,645.87,23.637158341886252,1.8548718354132963,2002-12-18,2021-08-25,2002-12-18,2021-08-25
363,18554815,Uberlândia,Inmet,-48.25566,-18.91707,874.77,23.17316069770347,1.8722452498303532,2003-03-20,2021-08-25,2003-03-20,2021-08-25
364,16174041,Almenara,Inmet,-40.68776,-16.16677,189.11,25.491602146942274,1.5859551532256435,2006-12-06,2021-08-25,2006-12-06,2021-08-25
365,22514602,Monte Verde,Inmet,-46.04337,-22.8616,1544.89,15.233589534447649,1.3437371022179365,2004-12-19,2021-08-25,2004-12-19,2021-08-25
366,20464252,Viçosa,Inmet,-42.86401,-20.76261,697.64,19.8797658730159,0.8472968546708304,2005-09-15,2021-08-25,2005-09-15,2021-08-25
367,19344238,Timóteo,Inmet,-42.62241,-19.57382,493.42,22.527572365589798,1.0242763278388278,2006-02-24,2021-08-25,2006-02-24,2021-08-25
368,18574931,Ituiutaba,Inmet,-49.52507,-18.95291,540.08,23.82009618296093,1.5090783956480691,2006-05-11,2021-04-10,2006-05-11,2021-04-10
369,21064223,Muriaé,Inmet,-42.3759,-21.10487,282.79,23.16881577166003,1.1981272725453045,2006-12-04,2021-08-25,2006-08-29,2021-08-25
370,21464321,Juiz de Fora,Inmet,-43.36433,-21.76997,936.88,19.258848590844487,2.6205923607358037,2007-06-12,2021-08-25,2007-06-12,2021-08-25
371,19324932,Campina Verde,Inmet,-49.51813,-19.53921,559.07,23.993414970275634,1.7695468734362183,2006-12-04,2021-08-25,2006-12-04,2021-08-25
372,19594809,Conceição das Alagoas,Inmet,-48.15157,-19.98586,572.54,23.268294426429673,2.2078631377729736,2006-12-04,2021-08-25,2006-12-04,2021-08-25
373,19534358,Belo Horizonte - Pampulha,Inmet,-43.9694,-19.88395,854.02,21.94899593666808,2.037507150863706,2006-12-04,2021-08-25,2006-12-04,2021-08-25
374,17484015,Serra dos Aimorés,Inmet,-40.24993,-17.7988,211.97,23.598132818911516,2.6999655467483357,2006-12-04,2020-12-12,2006-12-04,2020-12-12
375,19004658,Patrocíonio,Inmet,-46.98594,-18.99668,978.11,20.677388993975054,1.3301792369743186,2006-12-04,2021-08-25,2006-12-04,2021-08-25
376,20274527,Formiga,Inmet,-45.45383,-20.45493,878.14,21.44165041834304,1.7102230378910712,2006-12-04,2021-08-25,2006-12-04,2021-08-25
377,19534726,Sacramento,Inmet,-47.4341,-19.87527,913.12,21.982572154166416,2.0530626813987465,2006-12-04,2021-08-25,2006-12-04,2021-08-25
