,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,ini_temp,fim_temp,ini_vento,fim_vento
425,23245155,Maringá,Inmet,-51.93283,-23.40536,548.51,2006-12-04,2021-08-25,2006-11-21,2021-08-25
426,20465142,Três Lagoas,Inmet,-51.7122,-20.79,328.94,2006-12-04,2021-08-25,2006-12-04,2019-12-03
427,22184942,Bauru,Inmet,-49.02888,-22.35805,636.17,2006-12-04,2021-08-25,2006-12-04,2021-08-25
428,22454536,Campos do Jordão,Inmet,-45.60384,-22.75023,1662.95,2006-09-28,2021-08-25,2006-09-28,2021-08-25
429,22075124,Presidente Prudente,Inmet,-51.40864,-22.11987,431.92,2006-12-04,2021-08-25,2006-12-04,2021-08-25
430,20344722,Franca,Inmet,-47.38255,-20.58448,1002.74,2006-12-04,2021-08-25,2006-12-04,2021-08-25
431,22185349,Ivinhema,Inmet,-53.8229,-22.30042,377.36,2006-12-04,2021-08-25,2006-12-04,2021-08-25
433,21574752,São Carlos,Inmet,-47.88393,-21.98035,859.29,2007-07-14,2021-08-25,2007-07-14,2021-08-25
434,24434733,Iguape,Inmet,-47.5459,-24.67165,2.7,2006-12-04,2021-08-25,2006-12-04,2021-08-25
435,23214740,Sorocaba,Inmet,-47.58555,-23.42604,609.33,2000-01-01,2021-08-25,2000-01-01,2021-08-25
436,23514809,São Miguel Arcanjo,Inmet,-48.16482,-23.85202,675.68,2000-01-01,2021-08-25,2000-01-01,2021-08-25
438,22125053,Rancharia,Inmet,-50.97471,-22.37283,398.75,2006-12-04,2021-08-25,2006-12-04,2021-08-25
439,20285547,Aquidauana,Inmet,-55.78401,-20.47542,151.35,2006-12-04,2021-07-02,2006-12-04,2021-07-02
