idGrade,x,y,t_med_medio,v_vento_medio
410,-68.0,-2.5,26.01,0.875
411,-67.5,-2.5,26.151,0.9
412,-67.0,-2.5,26.277,0.915
413,-66.5,-2.5,26.33,0.915
414,-66.0,-2.5,26.427,0.906
415,-65.5,-2.5,26.59,0.931
416,-65.0,-2.5,26.641,0.935
417,-64.5,-2.5,26.703,0.93
418,-64.0,-2.5,26.739,0.936
419,-63.5,-2.5,26.801,0.932
420,-63.0,-2.5,26.821,0.932
421,-62.5,-2.5,26.866,0.928
422,-62.0,-2.5,26.925,0.942
423,-61.5,-2.5,26.983,0.968
424,-61.0,-2.5,27.017,0.993
425,-60.5,-2.5,26.961,0.954
426,-60.0,-2.5,26.708,0.847
427,-59.5,-2.5,26.252,0.73
428,-59.0,-2.5,26.807,0.785
429,-58.5,-2.5,27.06,0.778
430,-58.0,-2.5,27.359,0.737
431,-57.5,-2.5,27.363,0.723
432,-57.0,-2.5,27.387,0.61
433,-56.5,-2.5,27.366,0.612
434,-56.0,-2.5,26.962,0.706
435,-55.5,-2.5,26.75,0.795
436,-55.0,-2.5,26.622,1.209
437,-54.5,-2.5,26.64,1.361
438,-54.0,-2.5,27.016,1.851
439,-53.5,-2.5,26.763,1.513
440,-53.0,-2.5,26.433,1.191
441,-52.5,-2.5,26.252,1.088
442,-52.0,-2.5,26.324,1.107
443,-51.5,-2.5,26.532,1.15
444,-51.0,-2.5,26.665,1.177
445,-50.5,-2.5,26.771,1.221
446,-50.0,-2.5,27.024,1.385
447,-49.5,-2.5,27.393,1.632
448,-49.0,-2.5,26.98,1.355
449,-48.5,-2.5,26.645,1.018
450,-48.0,-2.5,26.704,1.177
451,-47.5,-2.5,26.741,1.337
452,-47.0,-2.5,26.734,1.458
453,-46.5,-2.5,26.808,1.572
454,-46.0,-2.5,26.926,1.666
455,-45.5,-2.5,26.997,1.776
456,-45.0,-2.5,27.067,1.826
457,-44.5,-2.5,27.043,1.871
458,-44.0,-2.5,27.037,1.892
459,-43.5,-2.5,27.231,2.04
460,-43.0,-2.5,27.363,2.411
461,-69.5,-3.0,25.843,0.957
462,-69.0,-3.0,25.873,0.948
463,-68.5,-3.0,25.956,0.916
464,-68.0,-3.0,25.997,0.912
465,-67.5,-3.0,26.113,0.908
466,-67.0,-3.0,26.263,0.924
467,-66.5,-3.0,26.372,0.936
468,-66.0,-3.0,26.469,0.926
469,-65.5,-3.0,26.552,0.93
470,-65.0,-3.0,26.656,0.937
471,-64.5,-3.0,26.744,0.975
472,-64.0,-3.0,26.802,1.0
473,-63.5,-3.0,26.872,1.018
474,-63.0,-3.0,26.913,1.018
475,-62.5,-3.0,26.931,0.993
476,-62.0,-3.0,26.978,0.991
477,-61.5,-3.0,27.06,1.031
478,-61.0,-3.0,27.184,1.127
479,-60.5,-3.0,27.284,1.187
480,-60.0,-3.0,27.743,1.393
481,-59.5,-3.0,26.809,0.859
482,-59.0,-3.0,26.972,0.752
483,-58.5,-3.0,27.156,0.863
484,-58.0,-3.0,27.016,0.713
485,-57.5,-3.0,26.937,0.645
486,-57.0,-3.0,27.198,0.65
487,-56.5,-3.0,27.243,0.676
488,-56.0,-3.0,27.018,0.802
489,-55.5,-3.0,26.836,0.941
490,-55.0,-3.0,26.706,1.118
491,-54.5,-3.0,26.675,1.203
492,-54.0,-3.0,26.656,1.216
493,-53.5,-3.0,26.445,1.073
494,-53.0,-3.0,26.118,0.879
495,-52.5,-3.0,25.637,0.889
496,-52.0,-3.0,25.935,0.972
497,-51.5,-3.0,26.437,1.079
498,-51.0,-3.0,26.669,1.103
499,-50.5,-3.0,26.774,1.128
500,-50.0,-3.0,26.846,1.191
501,-49.5,-3.0,26.895,1.254
502,-49.0,-3.0,26.832,1.251
503,-48.5,-3.0,26.726,1.177
504,-48.0,-3.0,26.733,1.239
505,-47.5,-3.0,26.794,1.121
506,-47.0,-3.0,26.804,1.28
507,-46.5,-3.0,26.869,1.522
508,-46.0,-3.0,26.944,1.628
509,-45.5,-3.0,27.048,1.682
510,-45.0,-3.0,27.138,1.734
511,-44.5,-3.0,27.164,1.806
512,-44.0,-3.0,27.208,1.874
513,-43.5,-3.0,27.33,1.99
514,-43.0,-3.0,27.366,2.227
515,-42.5,-3.0,27.323,2.408
516,-42.0,-3.0,27.25,2.916
517,-41.5,-3.0,27.055,2.879
518,-41.0,-3.0,26.545,2.67
519,-40.5,-3.0,26.711,2.759
520,-40.0,-3.0,26.773,3.094
521,-69.5,-3.5,25.811,0.963
522,-69.0,-3.5,25.868,0.952
523,-68.5,-3.5,25.91,0.947
524,-68.0,-3.5,25.981,0.924
525,-67.5,-3.5,26.094,0.938
526,-67.0,-3.5,26.258,0.937
527,-66.5,-3.5,26.337,0.938
528,-66.0,-3.5,26.426,0.937
529,-65.5,-3.5,26.564,0.959
530,-65.0,-3.5,26.646,0.981
531,-64.5,-3.5,26.766,0.993
532,-64.0,-3.5,26.866,1.056
533,-63.5,-3.5,26.947,1.105
534,-63.0,-3.5,26.981,1.116
535,-62.5,-3.5,26.966,1.057
536,-62.0,-3.5,27.002,1.019
537,-61.5,-3.5,27.074,1.05
538,-61.0,-3.5,27.209,1.155
539,-60.5,-3.5,27.285,1.209
540,-60.0,-3.5,27.376,1.144
541,-59.5,-3.5,27.11,0.702
542,-59.0,-3.5,27.091,0.43
543,-58.5,-3.5,27.055,0.756
544,-58.0,-3.5,26.716,0.618
545,-57.5,-3.5,26.511,0.523
546,-57.0,-3.5,26.93,0.697
547,-56.5,-3.5,27.085,0.794
548,-56.0,-3.5,27.088,0.884
549,-55.5,-3.5,26.94,0.946
550,-55.0,-3.5,26.756,0.987
551,-54.5,-3.5,26.605,0.907
552,-54.0,-3.5,26.529,0.875
553,-53.5,-3.5,26.307,0.848
554,-53.0,-3.5,26.0,0.506
555,-52.5,-3.5,25.615,0.833
556,-52.0,-3.5,25.913,0.944
557,-51.5,-3.5,26.456,1.032
558,-51.0,-3.5,26.761,0.956
559,-50.5,-3.5,26.851,0.908
560,-50.0,-3.5,26.765,0.979
561,-49.5,-3.5,26.76,0.946
562,-49.0,-3.5,26.758,1.18
563,-48.5,-3.5,26.733,1.288
564,-48.0,-3.5,26.692,1.358
565,-47.5,-3.5,26.713,1.378
566,-47.0,-3.5,26.776,1.463
567,-46.5,-3.5,26.867,1.609
568,-46.0,-3.5,26.964,1.645
569,-45.5,-3.5,27.113,1.636
570,-45.0,-3.5,27.264,1.615
571,-44.5,-3.5,27.322,1.685
572,-44.0,-3.5,27.369,1.807
573,-43.5,-3.5,27.571,1.905
574,-43.0,-3.5,27.487,1.995
575,-42.5,-3.5,27.347,2.199
576,-42.0,-3.5,27.173,2.51
577,-41.5,-3.5,26.481,2.684
578,-41.0,-3.5,24.605,3.063
579,-40.5,-3.5,26.901,2.377
580,-40.0,-3.5,26.928,2.59
581,-39.5,-3.5,26.531,2.643
582,-39.0,-3.5,26.366,2.665
583,-69.5,-4.0,25.709,0.974
584,-69.0,-4.0,25.792,0.956
585,-68.5,-4.0,25.835,0.953
586,-68.0,-4.0,25.889,0.951
587,-67.5,-4.0,26.025,0.946
588,-67.0,-4.0,26.214,0.984
589,-66.5,-4.0,26.316,0.961
590,-66.0,-4.0,26.423,0.945
591,-65.5,-4.0,26.527,0.959
592,-65.0,-4.0,26.653,0.992
593,-64.5,-4.0,26.761,1.018
594,-64.0,-4.0,26.892,1.082
595,-63.5,-4.0,27.007,1.169
596,-63.0,-4.0,27.037,1.195
597,-62.5,-4.0,26.981,1.108
598,-62.0,-4.0,26.971,1.029
599,-61.5,-4.0,27.033,1.022
600,-61.0,-4.0,27.11,1.05
601,-60.5,-4.0,27.162,1.054
602,-60.0,-4.0,27.134,0.948
603,-59.5,-4.0,27.066,0.718
604,-59.0,-4.0,27.043,0.598
605,-58.5,-4.0,26.967,0.698
606,-58.0,-4.0,26.837,0.686
607,-57.5,-4.0,26.793,0.677
608,-57.0,-4.0,26.952,0.769
609,-56.5,-4.0,27.213,0.886
610,-56.0,-4.0,27.48,0.97
611,-55.5,-4.0,27.162,0.955
612,-55.0,-4.0,26.785,0.932
