,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
178,1696.0,10724365.0,Buritirama,Inmet,M,-43.6512,-10.72293,506.06,2008-05-15
179,1697.0,13003961.0,Amargosa,Inmet,M,-39.61688,-13.00947,397.8,2008-07-11
180,1698.0,9833949.0,Uauá,Inmet,M,-39.49563,-9.83362,450.6,2008-05-20
182,1744.0,9575453.0,Guarantã do Norte,Inmet,M,-54.89783,-9.95259,283.58,2002-12-20
183,1745.0,14005212.0,Água Boa,Inmet,M,-52.21169,-14.0165,440.0,2006-12-16
184,1839.0,15315508.0,Campo Verde,Inmet,M,-55.13565,-15.53143,748.27,2006-11-21
185,1948.0,23594852.0,Itapeva,Inmet,M,-48.88582,-23.98192,743.33,2006-07-25
186,1990.0,22574951.0,Ourinhos,Inmet,M,-49.89455,-22.949,443.49,2006-08-30
187,1991.0,25005051.0,Ivaí,Inmet,M,-50.85385,-25.01076,803.58,2006-07-12
188,1992.0,24265157.0,Nova Tebas,Inmet,M,-51.96302,-24.43735,656.24,2006-12-20
189,2078.0,12335543.0,Sorriso,Inmet,M,-55.72286,-12.55511,379.31,2002-12-16
191,2080.0,17815328.0,Alto Taquari,Inmet,M,-53.28947,-17.84101,862.42,2008-01-29
192,2081.0,15365721.0,Porto Estrela,Inmet,M,-57.22585,-15.32473,147.75,2008-02-26
193,2082.0,15135811.0,Salto do Céu,Inmet,M,-58.12709,-15.12481,300.83,2008-01-26
197,2122.0,27805033.0,Lages,Inmet,M,-50.33546,-27.80223,952.7,2014-11-14
199,2124.0,13475750.0,Campo Novo dos Parecis,Inmet,M,-57.83849,-13.78591,525.41,2002-12-12
201,2126.0,14925388.0,Santo Antônio do Leste,Inmet,M,-53.88364,-14.92788,664.21,2008-05-30
203,2137.0,16164759.0,Luziânia,Inmet,M,-47.96696,-16.26054,1000.82,2006-10-21
204,2141.0,15545214.0,Aragarças,Inmet,M,-52.24517,-15.90266,327.35,2007-07-13
205,2143.0,15565008.0,Goiás,Inmet,M,-50.14143,-15.93973,512.86,2007-07-16
206,2147.0,14584932.0,Itapaci,Inmet,M,-49.53998,-14.97979,551.16,2007-02-03
207,2154.0,17555143.0,Jataí,Inmet,M,-51.71747,-17.92362,670.08,2007-05-24
208,2156.0,14054621.0,Posse,Inmet,M,-46.3665,-14.08921,830.0,2007-04-18
209,2157.0,12014833.0,Peixe,Inmet,M,-48.54452,-12.01538,250.87,2006-12-01
210,2159.0,11444902.0,Gurupi,Inmet,M,-49.0497,-11.74578,279.07,2006-12-20
211,2160.0,8584811.0,Pedro Afonso,Inmet,M,-48.17726,-8.96868,189.71,2007-01-23
212,2161.0,7064812.0,Araguaina,Inmet,M,-48.20123,-7.10395,230.76,2007-01-26
213,2171.0,15134859.0,Goianésia,Inmet,M,-48.99011,-15.2202,667.01,2007-06-02
214,2172.0,16585149.0,Caiapônia,Inmet,M,-51.81757,-16.96684,740.1,2007-05-21
215,2173.0,14074731.0,Alto Paraíso de Goiás,Inmet,M,-47.52326,-14.13307,1264.7,2007-06-02
216,2174.0,17475057.0,Rio Verde,Inmet,M,-50.96487,-17.7853,780.11,2007-05-17
217,2175.0,16285044.0,Paraúna,Inmet,M,-50.42545,-16.96254,678.74,2008-03-30
218,2176.0,13144653.0,Monte Alegre de Goiás,Inmet,M,-46.89033,-13.25352,551.33,2007-06-06
219,2177.0,17184817.0,Pires do Rio,Inmet,M,-48.28413,-17.30415,757.27,2007-10-12
220,2178.0,18154794.0,Catalão,Inmet,M,-47.92761,-18.15478,900.72,2008-01-31
221,2181.0,18254912.0,Itumbiara,Inmet,M,-49.19206,-18.40976,491.17,2007-11-01
222,2182.0,16474737.0,Cristalina,Inmet,M,-47.61297,-16.7849,1211.08,2007-12-14
223,2185.0,15934813.0,Gama (Ponte Alta),Inmet,M,-48.13738,-15.93514,990.0,2014-10-01
225,2225.0,12594952.0,Araguaçu,Inmet,M,-49.52874,-12.59221,231.0,2015-08-19
227,2235.0,7617268.0,Cruzeiro do Sul,Inmet,M,-72.68133,-7.61077,220.0,2015-05-14
228,2241.0,7266478.0,Lábrea,Inmet,M,-64.7885,-7.26068,61.91,2008-07-26
229,2242.0,7636307.0,Humaitá,Inmet,M,-63.07134,-7.55252,53.56,2008-04-25
230,2244.0,7205988.0,Apui,Inmet,M,-59.88856,-7.20548,156.97,2008-07-30
231,2245.0,4096314.0,Coari,Inmet,M,-63.14532,-4.09748,33.84,2008-04-13
232,2246.0,3585912.0,Autazes,Inmet,M,-59.12944,-3.58333,19.9,2008-04-17
233,2250.0,3135848.0,Itacoatiara,Inmet,M,-58.48278,-3.13333,41.54,2008-04-21
234,2252.0,3395767.0,Maués,Inmet,M,-57.67377,-3.39901,25.49,2008-04-21
235,2255.0,2635675.0,Parintins,Inmet,M,-56.75618,-2.63915,18.72,2008-04-10
236,2258.0,2535775.0,Urucará,Inmet,M,-57.7581,-2.53475,18.49,2008-04-16
237,2262.0,2435956.0,Rio Urubu,Inmet,M,-59.60058,-2.63365,112.84,2008-06-26
238,2263.0,2056002.0,Presidente Figueiredo,Inmet,M,-60.02576,-2.05656,60.99,2008-04-19
239,2264.0,29045014.0,Cambará do Sul,Inmet,M,-50.14964,-29.04913,1017.0,2016-11-24
240,2265.0,986292.0,Barcelos,Inmet,M,-62.92425,-0.98729,29.88,2008-04-19
242,2267.0,126706.0,São Gabriel da Cachoeira,Inmet,M,-67.06125,-0.12521,79.67,2011-09-02
243,2268.0,2806064.0,Boa Vista,Inmet,M,-60.69082,2.8169,82.35,2010-08-26
244,2273.0,8267274.0,Porto Walter,Inmet,M,-72.74784,-8.2672,205.35,2009-10-29
245,2274.0,11026873.0,Epitaciolândia,Inmet,M,-68.73518,-11.02375,224.5,2009-09-21
246,2275.0,1184755.0,Castanhal,Inmet,M,-47.94797,-1.30088,47.13,2003-01-24
247,2277.0,2324413.0,São Luís,Inmet,M,-44.21358,-2.52677,54.8,2003-01-29
248,2278.0,5814616.0,Grajaú,Inmet,M,-46.1622,-5.81609,232.29,2008-09-10
249,2280.0,3515296.0,Medicilandia,Inmet,M,-52.96345,-3.51094,251.68,2008-02-17
250,2282.0,3845063.0,Pacajá,Inmet,M,-50.6381,-3.8437,89.02,2008-02-27
251,2287.0,3885424.0,Placas,Inmet,M,-54.21642,-3.86404,100.45,2008-02-14
252,2288.0,3014734.0,Paragominas,Inmet,M,-47.34312,-3.00993,84.89,2007-10-18
253,2290.0,2414816.0,Tomé Açu,Inmet,M,-48.36059,-2.59261,42.95,2007-10-14
254,2291.0,4784807.0,Rondon do Pará,Inmet,M,-48.07106,-4.78447,229.28,2008-02-17
255,2298.0,614735.0,Salinópolis,Inmet,M,-47.3566,-0.61888,23.18,2008-06-14
256,2312.0,6635195.0,São Félix do Xingu,Inmet,M,-51.95697,-6.63962,211.0,2016-11-15
258,2316.0,2594270.0,Farol Preguiças,Inmet,M,-42.70755,-2.59234,4.62,2008-11-22
259,2317.0,1664537.0,Turiaçu,Inmet,M,-45.37257,-1.66122,35.86,2008-06-10
260,2323.0,4244479.0,Bacabal,Inmet,M,-44.79499,-4.24306,22.33,2008-07-09
261,2325.0,5504523.0,Barra do Corda,Inmet,M,-45.23705,-5.50678,154.19,2008-03-04
262,2327.0,6034423.0,Colinas,Inmet,M,-44.2334,-6.03317,175.37,2008-06-03
263,2328.0,9104593.0,Alto Parnaíba,Inmet,M,-45.93202,-9.1082,283.69,2008-06-03
264,2332.0,6654741.0,Estreito,Inmet,M,-47.41824,-6.65327,182.96,2008-02-27
265,2335.0,5554745.0,Imperatriz,Inmet,M,-47.45979,-5.55572,117.96,2008-03-01
266,2336.0,1074678.0,Bragança,Inmet,M,-46.78579,-1.04726,41.0,2008-03-07
267,2339.0,814851.0,Soure,Inmet,M,-48.5158,-0.72783,12.54,2008-04-27
268,2340.0,3824967.0,Tucuruí,Inmet,M,-49.67496,-3.82276,137.94,2008-03-01
270,2343.0,4275599.0,Itaituba,Inmet,M,-55.99309,-4.27698,24.46,2008-06-14
271,2361.0,1885551.0,Óbidos,Inmet,M,-55.51986,-1.88079,89.64,2012-07-03
272,2362.0,9335035.0,Santana do Araguaia,Inmet,M,-50.35028,-9.33861,176.75,2008-05-30
273,2363.0,6745114.0,Tucumã,Inmet,M,-51.1419,-6.74321,320.93,2016-05-28
274,2364.0,4254992.0,Novo Repartimento,Inmet,M,-49.93931,-4.24399,100.76,2008-07-23
275,2365.0,2244949.0,Cametá,Inmet,M,-49.49983,-2.23965,9.92,2008-06-20
276,2366.0,4824334.0,Caxias,Inmet,M,-43.34366,-4.82135,84.85,2008-07-13
277,2377.0,5164937.0,Marabá,Inmet,M,-49.05117,-5.36645,116.58,2009-06-25
278,2384.0,2005407.0,Monte Alegre,Inmet,M,-54.07648,-2.00005,100.53,2012-10-01
279,2386.0,8254927.0,Conceição do Araguaia,Inmet,M,-49.28277,-8.30361,175.74,2008-09-04
282,2408.0,705142.0,Porto Grande,Inmet,M,-51.42778,0.70278,74.09,2008-09-17
284,2410.0,1734705.0,Capitão Poço,Inmet,M,-47.0575,-1.73477,79.1,2010-08-19
285,2411.0,2505472.0,Santarém,Inmet,M,-54.72028,-2.50257,137.0,2015-09-02
286,2414.0,8033457.0,Recife,Inmet,M,-34.95924,-8.05928,11.3,2004-12-22
287,2415.0,9403542.0,Maceió,Inmet,M,-35.7702,-9.55117,84.12,2003-02-25
288,2416.0,5543512.0,Natal,Inmet,M,-35.20792,-5.83719,47.46,2003-02-22
289,2417.0,3463833.0,Fortaleza,Inmet,M,-38.53779,-3.8157,29.55,2003-02-18
290,2418.0,3434020.0,Sobral,Inmet,M,-40.34572,-3.74818,92.07,2003-02-11
291,2427.0,9234029.0,Petrolina,Inmet,M,-40.52326,-9.38832,372.72,2003-02-19
292,2429.0,3054147.0,Parnaíba,Inmet,M,-41.78314,-3.08666,52.11,2003-02-05
293,2433.0,8263703.0,Arco Verde,Inmet,M,-37.05548,-8.43354,683.95,2004-11-20
294,2435.0,6583542.0,Areia,Inmet,M,-35.71813,-6.97545,573.45,2004-11-16
295,2439.0,6464301.0,Floriano,Inmet,M,-43.0034,-6.76144,126.39,2004-11-18
