idGrade,x,y,t_med_medio,v_vento_medio
499,-67.5,-1.5,26.05,0.815
500,-67.0,-1.5,26.123,0.829
501,-66.5,-1.5,26.189,0.837
502,-66.0,-1.5,26.352,0.87
503,-65.5,-1.5,26.463,0.886
504,-65.0,-1.5,26.567,0.892
505,-64.5,-1.5,26.643,0.871
506,-64.0,-1.5,26.616,0.838
507,-63.5,-1.5,26.56,0.789
508,-63.0,-1.5,26.504,0.756
509,-62.5,-1.5,26.583,0.784
510,-62.0,-1.5,26.736,0.841
511,-61.5,-1.5,26.83,0.871
512,-61.0,-1.5,26.842,0.871
513,-60.5,-1.5,26.775,0.817
514,-60.0,-1.5,26.718,0.774
515,-59.5,-1.5,26.775,0.792
516,-59.0,-1.5,26.873,0.804
517,-58.5,-1.5,26.981,0.795
518,-58.0,-1.5,27.06,0.79
519,-57.5,-1.5,27.084,0.776
520,-57.0,-1.5,27.051,0.763
521,-56.5,-1.5,26.957,0.737
522,-56.0,-1.5,26.767,0.601
523,-55.5,-1.5,26.645,0.468
524,-55.0,-1.5,26.784,0.966
525,-54.5,-1.5,27.042,1.696
526,-54.0,-1.5,27.207,2.108
527,-53.5,-1.5,26.993,1.778
528,-53.0,-1.5,26.779,1.463
529,-52.5,-1.5,26.675,1.341
530,-52.0,-1.5,26.662,1.312
531,-51.5,-1.5,26.684,1.288
532,-51.0,-1.5,26.645,1.194
533,-50.5,-1.5,26.494,1.016
534,-50.0,-1.5,26.773,1.254
535,-49.5,-1.5,26.995,1.414
536,-49.0,-1.5,26.964,1.319
537,-48.5,-1.5,26.847,0.847
538,-48.0,-1.5,26.762,1.173
539,-47.5,-1.5,26.684,1.509
540,-47.0,-1.5,26.373,1.784
541,-46.5,-1.5,26.76,1.684
542,-46.0,-1.5,26.9,1.817
543,-45.5,-1.5,26.957,2.186
544,-45.0,-1.5,26.985,2.064
545,-44.5,-1.5,27.046,1.915
546,-44.0,-1.5,27.109,1.923
547,-43.5,-1.5,27.173,2.016
548,-43.0,-1.5,27.207,2.127
549,-70.5,-2.0,25.738,0.954
550,-70.0,-2.0,25.905,0.939
551,-69.5,-2.0,25.965,0.926
552,-69.0,-2.0,25.993,0.885
553,-68.5,-2.0,26.006,0.874
554,-68.0,-2.0,26.02,0.861
555,-67.5,-2.0,26.104,0.872
556,-67.0,-2.0,26.208,0.885
557,-66.5,-2.0,26.289,0.871
558,-66.0,-2.0,26.433,0.899
559,-65.5,-2.0,26.535,0.911
560,-65.0,-2.0,26.604,0.917
561,-64.5,-2.0,26.663,0.892
562,-64.0,-2.0,26.691,0.882
563,-63.5,-2.0,26.686,0.858
564,-63.0,-2.0,26.684,0.849
565,-62.5,-2.0,26.747,0.86
566,-62.0,-2.0,26.836,0.889
567,-61.5,-2.0,26.894,0.909
568,-61.0,-2.0,26.886,0.9
569,-60.5,-2.0,26.742,0.8
570,-60.0,-2.0,26.557,0.668
571,-59.5,-2.0,26.662,0.769
572,-59.0,-2.0,26.83,0.792
573,-58.5,-2.0,27.018,0.779
574,-58.0,-2.0,27.184,0.754
575,-57.5,-2.0,27.216,0.737
576,-57.0,-2.0,27.186,0.703
577,-56.5,-2.0,27.085,0.686
578,-56.0,-2.0,26.773,0.535
579,-55.5,-2.0,26.535,0.196
580,-55.0,-2.0,26.718,0.985
581,-54.5,-2.0,27.09,1.924
582,-54.0,-2.0,27.642,2.929
583,-53.5,-2.0,27.053,1.927
584,-53.0,-2.0,26.683,1.408
585,-52.5,-2.0,26.536,1.247
586,-52.0,-2.0,26.547,1.222
587,-51.5,-2.0,26.621,1.215
588,-51.0,-2.0,26.639,1.173
589,-50.5,-2.0,26.59,1.095
590,-50.0,-2.0,26.952,1.356
591,-49.5,-2.0,27.432,1.665
592,-49.0,-2.0,27.038,1.393
